Metric,Value
Start Date,2024-08-27
End Date,2025-11-04
Duration (days),434
Duration (years),1.19
Initial Portfolio Value,"$98,022.12"
Final Portfolio Value,"$112,716.50"
Absolute Change,"$14,694.38"
Total Return (%),14.99
Initial S&P 500 Value,"$98,022.12"
Final S&P 500 Value,"$118,200.83"
S&P 500 Absolute Change,"$20,178.71"
S&P 500 Total Return (%),20.59
Portfolio CAGR (%),12.47
S&P 500 CAGR (%),17.06
Outperformance (%),-4.59
Peak Value,"$114,809.06"
Peak Date,2025-10-28
Lowest Value,"$89,433.21"
Lowest Date,2025-04-08
Max Drawdown (%),-14.95
Equity Allocation Start (%),75.53
Equity Allocation End (%),77.67
Equity Change (%),2.13
Fixed Income Start (%),23.89
Fixed Income End (%),21.83
Fixed Income Change (%),-2.06
Cash Start (%),0.58
Cash End (%),0.50
Cash Change (%),-0.07
